dataset,method,accuracy,ari,nmi,purity
two_moons,spectral,1.0,1.0,1.0,1.0
two_moons,kmeans,0.76,0.2685684881617102,0.20526732647716556,0.76
circles,spectral,1.0,1.0,1.0,1.0
circles,kmeans,0.5125,-0.0018829087774792652,0.0004516420679525679,0.5125
blobs,spectral,0.6311111111111111,0.44271926208024776,0.49452962051672883,0.6422222222222222
blobs,kmeans,0.9066666666666666,0.7381408349602584,0.6712440833929904,0.9066666666666666
overlapping_blobs_failure,spectral,0.5844444444444444,0.24710378821391674,0.22538756420586986,0.5888888888888889
overlapping_blobs_failure,kmeans,0.5377777777777778,0.20505381302886908,0.19728987784990368,0.5822222222222222
iris,spectral,0.88,0.7073626391173137,0.7771535104605841,0.88
iris,kmeans,0.8333333333333334,0.6201351808870379,0.659486892724918,0.8333333333333334
digits_0136_pca2,spectral,0.9375,0.8396542952448951,0.824992292056342,0.9375
digits_0136_pca2,kmeans,0.9333333333333333,0.8308820191210337,0.8207581526380495,0.9333333333333333
karate,spectral,0.9705882352941176,0.8822575413558222,0.8371694628777809,0.9705882352941176
