dataset,family,graph,alpha,base_distance,sigma,gamma,n_neighbors,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error,kmeans_accuracy,kmeans_ari,kmeans_nmi,kmeans_purity
blobs,synthetic,dense_rbf,0.1,5.38274331515321,0.538274331515321,1.725689528431603,,0.0063939170000040235,2880000,359400,0.9983333333333333,0.9949958125176231,0.990445010867515,0.9983333333333333,0.03541429199999868,0.07216416600000031,0.11397237500000301,0.3278773603991165,,0.9983333333333333,0.9949958125176231,0.990445010867515,0.9983333333333333
blobs,synthetic,knn_rbf,1.4,0.319058163082892,0.44668142831604873,2.5059604469398393,12.0,0.0011091669999956366,109540,8928,0.9983333333333333,0.9949958125176231,0.990445010867515,0.9983333333333333,0.0051459579999999505,0.009839208000002486,0.016094332999998073,0.5378104428799619,,0.9983333333333333,0.9949958125176231,0.990445010867515,0.9983333333333333
circles,synthetic,dense_rbf,0.1,0.9436701718754148,0.09436701718754148,56.147386863461406,,0.004421542000002887,2000000,249500,1.0,1.0,1.0,1.0,0.041150000000001796,0.04049775000000011,0.0860692920000048,0.002341467094166255,,0.5,-0.002008032128514056,1.2813706015259669e-15,0.5
circles,synthetic,knn_rbf,0.2,0.0954888112162893,0.019097762243257863,1370.8976744929807,14.0,0.0017527919999977826,96492,7874,1.0,1.0,1.0,1.0,2.7062289170000042,0.022433583000001533,2.7304152920000035,2.600006707174961e-14,,0.5,-0.002008032128514056,1.2813706015259669e-15,0.5
digits_01,digits,dense_rbf,0.35,9.96630173373514,3.488205606807299,0.04109281119029453,,0.010485958000000073,1036800,129240,1.0,1.0,1.0,1.0,0.08515854199999984,0.039485374999999934,0.13512987499999984,10.033817409773416,,0.9944444444444445,0.9778395211173349,0.9503820053288754,0.9944444444444445
digits_01,digits,knn_rbf,1.0,4.438492055901602,4.438492055901602,0.025380437877778307,16.0,0.004059083000000019,98884,8120,1.0,1.0,1.0,1.0,0.011927709000000064,0.034935250000000195,0.05092204200000028,2.1495181266277092,,0.9944444444444445,0.9778395211173349,0.9503820053288754,0.9944444444444445
digits_0136,digits,dense_rbf,0.7,9.91906574589092,6.943346022123644,0.010371280649819053,,0.03723087500000055,4193408,523452,0.9447513812154696,0.8648031518798465,0.8576991479653745,0.9447513812154696,0.06731924999999972,0.07768766700000018,0.18223779200000045,94.10592234555797,,0.9350828729281768,0.8376612196515375,0.8223932492511193,0.9350828729281768
digits_0136,digits,knn_rbf,1.4,4.174915680111579,5.84488195215621,0.014635869075506104,10.0,0.020846124999998494,126572,10306,0.9571823204419889,0.8946385284061508,0.9003010397967328,0.9571823204419889,0.11570045900000103,0.04312874999999927,0.1796753339999988,7.168182884558564,,0.9350828729281768,0.8376612196515375,0.8223932492511193,0.9350828729281768
digits_17,digits,dense_rbf,0.5,9.706506462765532,4.853253231382766,0.02122775661332468,,0.00817837499999996,1042568,129960,1.0,1.0,1.0,1.0,0.009511625000000024,0.020044167,0.037734166999999985,28.95055273997874,,1.0,1.0,1.0,1.0
digits_17,digits,knn_rbf,0.7,5.100527975613524,3.5703695829294664,0.03922325725927251,24.0,0.013484624999999362,145952,12042,1.0,1.0,1.0,1.0,0.034526749999999495,0.01915416599999986,0.06716554099999872,4.282175180412709,,1.0,1.0,1.0,1.0
digits_all,digits,dense_rbf,5.0,9.837168335180378,49.18584167590189,0.00020667587707413914,,0.2072854580000012,25833672,3227412,0.674457429048414,0.5412881086834179,0.6467680770984426,0.6828046744574291,0.6658396250000003,0.2834680419999991,1.1565931250000006,648.81738027643,,0.5893155258764607,0.4679268850431874,0.6263600587940679,0.6232609905397886
digits_all,digits,knn_rbf,0.7071067811865475,4.363738912583038,3.085629376415077,0.05251489279809309,10.0,0.006995625000001837,310024,25236,0.8430717863105175,0.7867231048334967,0.8482674814284635,0.8580968280467446,2.6037842909999966,0.17643958299999696,2.7872194989999954,73.19142688765938,,0.5893155258764607,0.4679268850431874,0.6263600587940679,0.6232609905397886
iris,real,dense_rbf,0.2,2.4980286517156456,0.49960573034312916,2.003157891946806,,0.0006061670000008235,180000,22350,0.8466666666666667,0.6536925558315911,0.7489500874010819,0.8466666666666667,0.0034555830000044807,0.0848009999999988,0.0888627500000041,4.971633952209678,,0.8333333333333334,0.6201351808870379,0.659486892724918,0.8333333333333334
iris,real,knn_rbf,0.7071067811865475,0.5469757567515252,0.38677026674364695,3.3424417268714675,12.0,0.0005842919999992091,28636,2336,0.88,0.7073626391173137,0.7771535104605841,0.88,0.0013256659999996145,0.003336500000003184,0.005246458000002008,5.540594270262878,,0.8333333333333334,0.6201351808870379,0.659486892724918,0.8333333333333334
two_moons,synthetic,dense_rbf,0.1,1.1542582661123855,0.11542582661123856,37.52874293897118,,0.0034052080000037677,2000000,249500,1.0,1.0,1.0,1.0,0.03609166700000088,0.017039916999998184,0.05653679200000283,0.562346459403704,,0.748,0.24450207299571752,0.1855866610200871,0.748
two_moons,synthetic,knn_rbf,0.35,0.08807835121027044,0.030827422923594652,526.1330251991459,12.0,0.000897000000001924,88812,7234,1.0,1.0,1.0,1.0,0.256410166000002,0.007028625000003785,0.2643357910000077,3.38750069597586e-23,,0.748,0.24450207299571752,0.1855866610200871,0.748
