dataset,family,graph,alpha,base_distance,sigma,gamma,n_neighbors,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
digits_01,digits,dense_rbf,0.1,9.96630173373514,0.996630173373514,0.5033869370811079,,0.01816337499999987,1036800,129240,0.5638888888888889,0.015429201573414018,0.0768817319995607,0.5638888888888889,0.059688916000000036,0.022182833000000013,0.10003512399999992,8.025255537543746,
digits_01,digits,dense_rbf,0.2,9.96630173373514,1.993260346747028,0.12584673427027698,,0.00815904199999995,1036800,129240,0.5111111111111111,0.0003116065617395571,0.010801079612899537,0.5111111111111111,0.01366079199999981,0.028885041999999972,0.05070487599999973,1.9944226551054784,
digits_01,digits,dense_rbf,0.35,9.96630173373514,3.488205606807299,0.04109281119029453,,0.010485958000000073,1036800,129240,1.0,1.0,1.0,1.0,0.08515854199999984,0.039485374999999934,0.13512987499999984,10.033817409773416,
digits_01,digits,dense_rbf,0.5,9.96630173373514,4.98315086686757,0.02013547748324432,,0.009394208999999876,1036800,129240,0.9972222222222222,0.988888814745925,0.9751786102885643,0.9972222222222222,0.036884999999999835,0.05436829199999993,0.10064750099999964,8.442485362817935,
digits_01,digits,dense_rbf,0.7,9.96630173373514,6.976411213614598,0.010273202797573633,,0.007355417000000086,1036800,129240,0.9916666666666667,0.966852146498289,0.9311368575551466,0.9916666666666667,0.022718959000000094,0.13576699999999997,0.16584137600000015,10.571380014521752,
digits_01,digits,dense_rbf,0.7071067811865475,9.96630173373514,7.047239539275362,0.010067738741622161,,0.009546624999999809,1036800,129240,0.9916666666666667,0.966852146498289,0.9311368575551466,0.9916666666666667,0.17155720800000007,0.04675179099999993,0.2278556239999998,10.606293654267203,
digits_01,digits,dense_rbf,1.0,9.96630173373514,9.96630173373514,0.00503386937081108,,0.007189375000000053,1036800,129240,0.9916666666666667,0.966852146498289,0.9311368575551466,0.9916666666666667,0.03851554200000029,0.02897241599999978,0.07467733300000012,11.43749400900144,
digits_01,digits,dense_rbf,1.4,9.96630173373514,13.952822427229195,0.002568300699393408,,0.010282375000000066,1036800,129240,0.9916666666666667,0.966852146498289,0.9311368575551466,0.9916666666666667,0.026386458999999807,0.022216790999999958,0.05888562499999983,11.828069510982644,
digits_01,digits,dense_rbf,2.0,9.96630173373514,19.93260346747028,0.00125846734270277,,0.012442082999999826,1036800,129240,0.9916666666666667,0.966852146498289,0.9311368575551466,0.9916666666666667,0.012333208000000262,0.01257979099999984,0.03735508199999993,12.038664338921418,
digits_01,digits,dense_rbf,3.0,9.96630173373514,29.89890520120542,0.0005593188189790088,,0.01271879099999973,1036800,129240,0.9916666666666667,0.966852146498289,0.9311368575551466,0.9916666666666667,0.09246570900000028,0.03003729200000027,0.13522179200000028,12.156067704507961,
