dataset,family,graph,n_neighbors,alpha,sigma,gamma,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
digits_0136,digits,dense_rbf_reference,,0.7,6.943346022123644,0.010371280649819053,0.11049745900000008,4193408,523452,0.9447513812154696,0.8648031518798465,0.8576991479653745,0.9447513812154696,0.1368412499999998,0.0699130840000004,0.3172517930000003,94.10592234555797,
digits_0136,digits,knn_rbf,2.0,0.7,2.464913726091404,0.08229369409374719,0.009425125000000367,29300,2200,0.5290055248618785,0.4435972228933947,0.5691666428340042,0.5331491712707183,0.18926029200000016,0.02914366700000004,0.22782908400000057,16.156918209398196,
digits_0136,digits,knn_rbf,3.0,0.7,2.5584180220475705,0.07638832602265884,0.0033358340000000375,41156,3188,0.7624309392265194,0.6712231978340522,0.7795712969291333,0.7624309392265194,0.023247791999999823,0.012627582999999998,0.03921120899999986,27.063034117040157,
digits_0136,digits,knn_rbf,4.0,0.7,2.6366298567416844,0.07192364239376137,0.002896375000000173,53804,4242,0.7831491712707183,0.7003158070058446,0.8201824222839887,0.7831491712707183,0.09169320800000014,0.018580749999999924,0.11317033300000023,9.195726716451965,
digits_0136,digits,knn_rbf,6.0,0.7,2.753773178232879,0.06593464514031976,0.0044679170000003765,78404,6292,0.7831491712707183,0.7007101958369835,0.8162499125277138,0.7831491712707183,0.06389341599999998,0.022237709000000105,0.09059904200000046,21.916022430410965,
digits_0136,digits,knn_rbf,8.0,0.7,2.8410244125292583,0.06194697064510969,0.004211665999999781,102524,8302,0.9530386740331491,0.8826063948485897,0.8833268211750149,0.9530386740331491,0.047575875000000156,0.021402124999999828,0.07318966599999976,17.697218561166824,
digits_0136,digits,knn_rbf,10.0,0.7,2.922440976078105,0.058543476302024416,0.007470249999999901,126572,10306,0.9502762430939227,0.876351350421952,0.8707750738923292,0.9502762430939227,0.04507212499999991,0.02515245799999999,0.0776948329999998,9.523239324089257,
digits_0136,digits,knn_rbf,12.0,0.7,2.981917066319818,0.056231398292379914,0.0061032500000002265,151172,12356,0.9544198895027625,0.887331024577235,0.8879315265150297,0.9544198895027625,0.03297191600000016,0.030966457999999975,0.07004162400000036,10.219668150480922,
digits_0136,digits,knn_rbf,16.0,0.7,3.093100075565698,0.052261522929177476,0.008474582999999924,199964,16422,0.9585635359116023,0.8977074589679133,0.9035333854127332,0.9585635359116023,0.02427741600000033,0.05041795800000015,0.0831699570000004,15.657532160355846,
digits_0136,digits,knn_rbf,24.0,0.7,3.272428571452268,0.046690621266998224,0.011651332999999653,295412,24376,0.9571823204419889,0.8942999649729815,0.8974382146604556,0.9571823204419889,0.018175916000000125,0.017891291999999837,0.047718540999999615,11.249189341856212,
digits_0136,digits,knn_rbf,32.0,0.7,3.4100068579718643,0.042999113257593494,0.008359958999999861,389492,32216,0.9558011049723757,0.8906133465434815,0.8912488619031457,0.9558011049723757,0.015075083999999794,0.018590415999999887,0.04202545899999954,9.733872146257633,
digits_0136,digits,knn_rbf,48.0,0.7,3.62673856833641,0.038013468899134685,0.008487291999999869,572468,47464,0.9516574585635359,0.879479703979785,0.877313579724596,0.9516574585635359,0.01812612499999977,0.019121458000000313,0.04573487499999995,12.327036086502893,
digits_all,digits,dense_rbf_reference,,0.7,6.886017834626264,0.010544687605823427,0.8424372079999998,25833672,3227412,0.6176961602671118,0.46814921170108287,0.5743019236764013,0.6432943795214245,1.6907357909999998,0.3314752080000005,2.864648207,356.6110699403378,
